question,prediction
manner How did serfdom develop in and then leave Russia ?,unknown
cremat What films featured the character Popeye Doyle ?,what
manner How can I find a list of celebrities ' real names ?,unknown
animal What fowl grabs the spotlight after the Chinese Year of the Monkey ?,what
exp What is the full form of .com ?,what
ind What contemptible scoundrel stole the cork from my lunch ?,what
gr What team did baseball 's St. Louis Browns become ?,what
title What is the oldest profession ?,what
def What are liver enzymes ?,what
ind Name the scar-faced bounty hunter of The Old West .,unknown
date When was Ozzy Osbourne born ?,when
reason Why do heavier objects travel downhill faster ?,unknown
ind Who was The Pride of the Yankees ?,who
ind Who killed Gandhi ?,who
event What is considered the costliest disaster the insurance industry has ever faced ?,what
state What sprawling U.S. state boasts the most airports ?,what
desc What did the only repealed amendment to the U.S. Constitution deal with ?,what
count How many Jews were executed in concentration camps during WWII ?,unknown
def What is `` Nine Inch Nails '' ?,what
def What is an annotated bibliography ?,what
date What is the date of Boxing Day ?,what
other What articles of clothing are tokens in Monopoly ?,what
ind Name 11 famous martyrs .,unknown
desc What 's the Olympic motto ?,what
desc What is the origin of the name ` Scarlett ' ?,what
letter What 's the second-most-used vowel in English ?,what
ind Who was the inventor of silly putty ?,who
other What is the highest waterfall in the United States ?,what
other Name a golf course in Myrtle Beach .,unknown
state Which two states enclose Chesapeake Bay ?,unknown
exp What does the abbreviation AIDS stand for ?,what
other What does a spermologer collect ?,what
count How many points make up a perfect fivepin bowling score ?,unknown
gr Which company that manufactures video-game hardware sells the `` super system '' ?,unknown
count How many Community Chest cards are there in Monopoly ?,unknown
desc What do Mormons believe ?,what
date When did the neanderthal man live ?,when
religion In what religion was Isis the nature goddess ?,what
other Where do the adventures of `` The Swiss Family Robinson '' take place ?,unknown
animal What relative of the racoon is sometimes known as the cat-bear ?,what
manner How can I register my website in Yahoo for free ?,unknown
other What was cash-conscious Colonel Edwin L. Drake the first to drill ?,what
count How many people in the world speak French ?,unknown
count How many inches over six feet is the Venus de Milo ?,unknown
manner How do they find or choose witnesses to an execution ?,unknown
ind What 1920s cowboy star rode Tony the Wonder Horse ?,what
food What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,what
gr What ISPs exist in the Caribbean ?,what
manner How do you ask a total stranger out on a date ?,unknown
other What weapon is the mythological character Apollo most proficient with ?,what
country What country do the Galapagos Islands belong to ?,what
def What is ethology ?,what
ind Who was the prophet of the Muslim people ?,who
desc Where did the term `` 86ed '' come from ?,unknown
ind Who is Snoopy 's arch-enemy ?,who
def What is the nature of learning ?,what
color What 's the only color Johnny Cash wears on stage ?,what
termeq What 's the term for a young fox ?,what
state What U.S. state lived under six flags ?,what
def What is the Kashmir issue ?,what
other Where is the Loop ?,unknown
def What does `` extended definition '' mean and how would one write a paper on it ?,what
country What country 's capital is Tirana ?,what
def What is titanium ?,what
ind Who do Herb and Tootsie live next door to ?,who
city Which city has the oldest relationship as a sisterðcity with Los Angeles ?,unknown
def What is a caldera ?,what
reason Why do people get calluses ?,unknown
other What are the names of the tourist attractions in Reims ?,what
reason What are Cushman and Wakefield known for ?,what
other What body of water does the Danube River flow into ?,what
ind Who is the founder of Scientology ?,who
other What does the six-footed Musca domestica become when it enters a house ?,what
desc What is the history of skateboarding ?,what
ind Who starred in Singing in the Rain and The Singing Nun ?,who
manner How do I make fuel bricks from recycled newspaper ?,unknown
ind What 19th-century painter died in the Marquesas Islands ?,what
body The corpus callosum is in what part of the body ?,what
manner How do I log on to home page at Headquarters U.S. European Command ?,unknown
"country What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",what
other What is Nebraska 's most valuable resource ?,what
count How many species of the Great White shark are there ?,unknown
desc What is the origin of head lice ?,what
state What is the nickname for the state of Mississippi ?,what
animal What was the first domesticated bird ?,what
count How many villi are found in the small intestine ?,unknown
country What country did King Wenceslas rule ?,what
dismed What is a fear of shadows ?,what
ind Who were the five Marx brothers ?,who
date In which year was New Zealand excluded from the ANZUS alliance ?,unknown
date When did CNN begin broadcasting ?,when
reason What causes the body to shiver in cold temperatures ?,what
def What are bear and bull markets ?,what
cremat What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,what
def What is `` dew point '' ?,what
def What is the meaning of Jesus ?,what
gr What company 's logo is a `` W '' in a circle ?,what
def What is the definition of a cascade ?,what
date When did Rococo painting and architecture flourish ?,when
country What country 's national passenger rail system is called Via ?,what
ind Who invented Make-up ?,who
desc What is the origin of the word `` attic '' ?,what
desc What did Delilah do to Samson 's hair ?,what
animal What kind of animals were in the Paleozoic era ?,what
ind Which of the following was Rhodes Scholar ?,unknown
ind Who comprised the now-defunct comic book team known as the Champions ?,who
manner How do you make a paintball ?,unknown
state What U.S. state is Fort Knox in ?,what
animal What is a female rabbit called ?,what
mount Where is the highest point in Japan ?,unknown
desc Where do chihuahuas come from ?,unknown
